cloud,profile,weighting,sigma_bin_left_g_cm2,sigma_bin_right_g_cm2,sigma_bin_center_g_cm2,probability_density_per_ln_sigma,probability_density_normalized_to_peak,common_pixel_count,profile_censored_pixel_count,shared_display_minimum_g_cm2
F,conservative,mass,0.5623413251903491,0.6493816315762113,0.6042963902381329,0.0,0.0,72424,20,0.01
F,conservative,mass,0.6493816315762113,0.7498942093324559,0.6978305848598664,0.0,0.0,72424,20,0.01
F,conservative,mass,0.7498942093324559,0.8659643233600653,0.8058421877614819,0.0,0.0,72424,20,0.01
F,conservative,mass,0.8659643233600653,1.0,0.930572040929699,0.0,0.0,72424,20,0.01
F,moderate,mass,0.01,0.011547819846894581,0.010746078283213174,0.007391485485462559,0.009733637458043091,72424,268,0.01
F,moderate,mass,0.011547819846894581,0.01333521432163324,0.012409377607517195,0.01577280701200672,0.02077076190604812,72424,268,0.01
F,moderate,mass,0.01333521432163324,0.01539926526059492,0.014330125702369627,0.02046487964568935,0.026949619191623114,72424,268,0.01
F,moderate,mass,0.01539926526059492,0.01778279410038923,0.016548170999431816,0.029869264906734725,0.03933398723601915,72424,268,0.01
F,moderate,mass,0.01778279410038923,0.02053525026457146,0.019109529749704406,0.04104660304829297,0.05405310661058376,72424,268,0.01
F,moderate,mass,0.02053525026457146,0.023713737056616554,0.0220673406908459,0.05108809179858711,0.06727645815833624,72424,268,0.01
F,moderate,mass,0.023713737056616554,0.027384196342643614,0.025482967479793464,0.06698687964197994,0.08821312064577454,72424,268,0.01
F,moderate,mass,0.027384196342643614,0.03162277660168379,0.029427271762092817,0.08520297036585914,0.1122013735291482,72424,268,0.01
F,moderate,mass,0.03162277660168379,0.03651741272548377,0.03398208328942559,0.11570344799796567,0.15236658688876,72424,268,0.01
F,moderate,mass,0.03651741272548377,0.042169650342858224,0.03924189758484536,0.1468287248192096,0.19335458056812,72424,268,0.01
F,moderate,mass,0.042169650342858224,0.04869675251658631,0.04531583637600818,0.18463043734205473,0.24313458293898518,72424,268,0.01
F,moderate,mass,0.04869675251658631,0.05623413251903491,0.05232991146814947,0.2357167531784821,0.3104087023831568,72424,268,0.01
F,moderate,mass,0.05623413251903491,0.06493816315762113,0.060429639023813285,0.2841296446579172,0.37416226516606677,72424,268,0.01
F,moderate,mass,0.06493816315762113,0.07498942093324558,0.06978305848598663,0.3521042569077583,0.4636761028502928,72424,268,0.01
F,moderate,mass,0.07498942093324558,0.08659643233600653,0.08058421877614817,0.40641551059186803,0.5351970514191107,72424,268,0.01
F,moderate,mass,0.08659643233600653,0.1,0.09305720409296989,0.4767490432954537,0.6278172845003474,72424,268,0.01
F,moderate,mass,0.1,0.11547819846894582,0.10746078283213176,0.5582823454452295,0.7351861761045955,72424,268,0.01
F,moderate,mass,0.11547819846894582,0.1333521432163324,0.12409377607517195,0.6693752373261568,0.881481252495029,72424,268,0.01
F,moderate,mass,0.1333521432163324,0.1539926526059492,0.14330125702369628,0.7234246844694372,0.9526574354605605,72424,268,0.01
F,moderate,mass,0.1539926526059492,0.1778279410038923,0.16548170999431816,0.7593754665019739,1.0,72424,268,0.01
F,moderate,mass,0.1778279410038923,0.2053525026457146,0.19109529749704407,0.7046980338289314,0.9279968407131831,72424,268,0.01
F,moderate,mass,0.2053525026457146,0.23713737056616552,0.220673406908459,0.5779029350802889,0.7610239737430163,72424,268,0.01
F,moderate,mass,0.23713737056616552,0.27384196342643613,0.25482967479793467,0.3990071478571708,0.5254411887905437,72424,268,0.01
F,moderate,mass,0.27384196342643613,0.31622776601683794,0.2942727176209282,0.0365450592475187,0.04812515133766664,72424,268,0.01
F,moderate,mass,0.31622776601683794,0.3651741272548377,0.33982083289425596,0.0,0.0,72424,268,0.01
F,moderate,mass,0.3651741272548377,0.4216965034285822,0.3924189758484536,0.0,0.0,72424,268,0.01
F,moderate,mass,0.4216965034285822,0.4869675251658631,0.4531583637600818,0.0,0.0,72424,268,0.01
F,moderate,mass,0.4869675251658631,0.5623413251903491,0.5232991146814947,0.0,0.0,72424,268,0.01
